Month,Stations,BOD (mg/L),Dissolved Oxygen (mg/L),"Fecal Coliform, MPN/100ml (Geomean)",pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phospate (mg/L)
2022-05-01,Stn. XXI (Cardona),4.0,8.0,33.0,8.5,0.01,0.02,0.16
2022-05-01,Stn. XXII (Jala-jala),3.0,7.2,43.0,8.2,0.02,0.01,0.13
2022-05-01,Stn. XXIII (Lumban),4.0,7.8,465.0,7.7,0.03,0.02,0.06
2022-06-01,Stn. XIII (Taytay),,,,,,,
2022-06-01,Stn. XIX (Muntinlupa),3.0,7.9,23.0,9.0,0.01,0.01,0.22
2022-06-01,Stn. XX (GEMS),5.0,6.0,88.0,9.0,0.01,0.01,0.29
2022-06-01,Stn. XXI (Cardona),6.0,9.3,24.0,9.4,0.02,0.01,0.24
2022-06-01,Stn. XXII (Jala-jala),4.0,7.4,41.0,8.6,0.03,0.01,0.21
2022-06-01,Stn. XXIII (Lumban),5.0,8.4,265.0,8.5,0.03,0.04,0.045
2022-07-01,Stn. XIII (Taytay),,,,,,,
2022-07-01,Stn. XIX (Muntinlupa),4.0,8.5,18.0,8.8,0.02,0.005,0.29
2022-07-01,Stn. XX (GEMS),,,,,,,
2022-07-01,Stn. XXI (Cardona),4.0,10.2,24.0,9.4,0.06,0.005,0.32
2022-07-01,Stn. XXII (Jala-jala),5.0,9.4,41.0,9.3,0.02,0.005,0.29
2022-07-01,Stn. XXIII (Lumban),4.0,10.2,56.0,8.5,0.04,0.005,0.03
2022-08-01,Stn. XIII (Taytay),5.0,9.1,64.0,8.6,0.27,0.1,0.24
2022-08-01,Stn. XIX (Muntinlupa),3.0,6.2,18.0,8.2,0.11,0.12,0.22
2022-08-01,Stn. XX (GEMS),3.0,6.2,277.0,8.3,0.04,0.05,0.28
2022-08-01,Stn. XXI (Cardona),4.0,9.1,24.0,8.6,0.03,0.05,0.31
2022-08-01,Stn. XXII (Jala-jala),4.0,7.8,19.0,8.7,0.04,0.05,0.14
2022-08-01,Stn. XXIII (Lumban),3.0,9.0,29.0,8.6,0.02,0.1,0.02
2022-09-01,Stn. XIII (Taytay),4.0,6.9,125.0,8.1,0.29,0.05,0.2
2022-09-01,Stn. XIX (Muntinlupa),3.0,7.8,18.0,8.5,0.07,0.05,0.18
2022-09-01,Stn. XX (GEMS),2.0,5.9,882.0,7.7,0.02,0.61,0.15
2022-09-01,Stn. XXI (Cardona),4.0,7.0,64.0,7.7,0.005,0.28,0.16
2022-09-01,Stn. XXII (Jala-jala),3.0,8.9,24.0,8.8,0.03,0.05,0.14
2022-09-01,Stn. XXIII (Lumban),3.0,8.6,87.0,8.0,0.06,0.017,0.13
2022-10-01,Stn. XIII (Taytay),2.0,6.4,95.0,7.8,0.005,0.53,0.15
2022-10-01,Stn. XIX (Muntinlupa),3.0,6.4,24.0,7.8,0.02,0.05,0.11
2022-10-01,Stn. XX (GEMS),,,,,,,
2022-10-01,Stn. XXI (Cardona),2.0,6.2,227.0,7.7,0.02,0.49,0.008
2022-10-01,Stn. XXII (Jala-jala),3.0,6.4,101.0,7.6,0.005,0.31,0.09
2022-10-01,Stn. XXIII (Lumban),2.0,8.1,131.0,7.6,0.005,0.05,0.04
2022-11-01,Stn. XIII (Taytay),2.0,7.3,84.0,8.0,0.005,0.67,0.08
2022-11-01,Stn. XIX (Muntinlupa),3.0,6.4,40.0,7.5,0.01,1.08,0.15
2022-11-01,Stn. XX (GEMS),,,,,,,
2022-11-01,Stn. XXI (Cardona),2.0,7.2,273.0,7.7,0.02,0.39,0.11
2022-11-01,Stn. XXII (Jala-jala),3.0,7.0,159.0,7.6,0.05,0.46,0.1
2022-11-01,Stn. XXIII (Lumban),3.0,7.1,312.0,6.9,0.03,0.37,0.07
2022-12-01,Stn. XIII (Taytay),3.0,7.8,44.0,8.0,0.005,0.54,0.14
2022-12-01,Stn. XIX (Muntinlupa),1.0,6.7,40.0,7.7,0.02,0.59,0.14
2022-12-01,Stn. XX (GEMS),,,,,,,
2022-12-01,Stn. XXI (Cardona),1.0,7.1,252.0,7.9,0.13,0.46,0.13
2022-12-01,Stn. XXII (Jala-jala),2.0,7.3,236.0,7.4,0.09,0.55,0.13
2022-12-01,Stn. XXIII (Lumban),2.0,7.5,274.0,7.0,0.05,0.14,0.04
